City,Latitude,Longitude
Athina,37.9839412,23.7283052
Paris,48.8566969,2.3514616
St. Louis,38.6529545,-90.24111656
London,51.5073219,-0.1276474
Stockholm,59.3251172,18.0710935
Antwerpen,51.2211097,4.3997081
Chamonix,45.9246705,6.8727506
Amsterdam,52.3727598,4.8936041
Sankt Moritz,46.4960592,9.8386578
Los Angeles,34.0536909,-118.2427666
Lake Placid,44.279621,-73.979874
Berlin,52.5170365,13.3888599
Garmisch-Partenkirchen,47.4938359,11.103992
Helsinki,60.1674098,24.9425769
Oslo,59.9133301,10.7389701
Cortina d'Ampezzo,46.5383332,12.1373506
Melbourne,-37.8142176,144.9631608
Squaw Valley,36.7402261,-119.246785
Roma,41.8933203,12.4829321
Innsbruck,47.26951525,11.3971372
Tokyo,35.6828387,139.7594549
Mexico City,19.4326296,-99.1331785
Grenoble,45.1875602,5.7357819
Munich,48.1371079,11.5753822
Sapporo,43.061936,141.3542924
Montreal,45.4972159,-73.6103642
Moskva,55.4792046,37.3273304
Sarajevo,43.8519774,18.3866868
Calgary,51.0534234,-114.0625892
Seoul,37.5666791,126.9782914
Barcelona,41.3828939,2.1774322
Albertville,45.6754622,6.3925417
Lillehammer,61.1333408,10.42658554
Atlanta,33.7490987,-84.3901849
Nagano,36.1143945,138.0319015
Sydney,-33.8548157,151.2164539
Salt Lake City,40.7596198,-111.8867975
Torino,45.0677551,7.6824892
Beijing,39.906217,116.3912757
Vancouver,49.2608724,-123.1139529
Sochi,43.5854823,39.723109
Rio de Janeiro,-22.9110137,-43.2093727
