Sport,path,image
Aeronautics,/images/aeronautics.jpg,aeronautics.jpg
Alpinism,/images/alpinism.jpg,alpinism.jpg
Archery,/images/archery.jpg,archery.jpg
Art Competitions,/images/default.jpg,default.jpg
Athletics,/images/athletics.jpg,athletics.jpg
Badminton,/images/badminton.jpg,badminton.jpg
Baseball,/images/baseball.jpg,baseball.jpg
Basketball,/images/basketball.jpg,basketball.jpg
Basque Pelota,/images/basquepelota.jpg,basquepelota.jpg
Beach Volleyball,/images/beachvolleyball.jpg,beachvolleyball.jpg
Boxing,/images/boxing.jpg,boxing.jpg
Canoeing,/images/canoeing.jpg,canoeing.jpg
Cricket,/images/cricket.jpg,cricket.jpg
Croquet,/images/croquet.jpg,croquet.jpg
Cycling,/images/cycling.jpg,cycling.jpg
Diving,/images/diving.jpg,diving.jpg
Equestrianism,/images/equestrian.jpg,equestrian.jpg
Fencing,/images/fencing.jpg,fencing.jpg
Figure Skating,/images/figureskating.jpg,figureskating.jpg
Football,/images/football.jpg,football.jpg
Golf,/images/golf.jpg,golf.jpg
Gymnastics,/images/gymnastics.jpg,gymnastics.jpg
Handball,/images/handball.jpg,handball.jpg
Hockey,/images/hockey.jpg,hockey.jpg
Ice Hockey,/images/hockey.jpg,hockey.jpg
Jeu De Paume,/images/default.jpg,default.jpg
Judo,/images/judo.jpg,judo.jpg
Lacrosse,/images/lacrosse.jpg,lacrosse.jpg
Modern Pentathlon,/images/pentathlon.jpg,pentathlon.jpg
Motorboating,/images/motorboating.jpg,motorboating.jpg
Polo,/images/polo.jpg,polo.jpg
Racquets,/images/racquets.jpg,racquets.jpg
Rhythmic Gymnastics,/images/rhythamicgymnsatics.jpg,rhythamicgymnsatics.jpg
Roque,/images/croquet.jpg,croquet.jpg
Rowing,/images/rowing.jpg,rowing.jpg
Rugby,/images/rugby.jpg,rugby.jpg
Rugby Sevens,/images/rugby.jpg,rugby.jpg
Sailing,/images/sailing.jpg,sailing.jpg
Shooting,/images/shooting.jpg,shooting.jpg
Softball,/images/softball.jpg,softball.jpg
Swimming,/images/swimming.jpg,swimming.jpg
Synchronized Swimming,/images/synchronizedswimming.jpg,synchronizedswimming.jpg
Table Tennis,/images/tabletennis.jpg,tabletennis.jpg
Taekwondo,/images/taekwando.jpg,taekwando.jpg
Tennis,/images/tennis.jpg,tennis.jpg
Trampolining,/images/trampoline.jpg,trampoline.jpg
Triathlon,/images/traithlon.jpg,traithlon.jpg
Tug-Of-War,/images/tugofwar.jpg,tugofwar.jpg
Volleyball,/images/volleyball.jpg,volleyball.jpg
Water Polo,/images/waterpolo.jpg,waterpolo.jpg
Weightlifting,/images/weightlifting.jpg,weightlifting.jpg
Wrestling,/images/wrestling.jpg,wrestling.jpg
